|metroId|metropolitanAreas|lat|long|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
0|AT001|Vienna|48.2083537|16.3725042|-0.4564571177051506|0.8547936630625796|-0.001509716598230027|0.46928662121230175|-0.30329776644082246|0.17730332403100627|4.2172210493416085|4.196851910076724|4.354631510414203|-0.16682161919947996|-0.15952949693154023|1.2882371868406666|1.3261722302472365|0.8314214823446467
1|AT002|Graz|47.0708678|15.4382786|-0.5144493472358365|-0.1266095850173598|-0.313466816128103|0.8074219629413388|-0.47238412727941487|0.6242022109277604|0.58380028678057|0.6421181005217736|0.6554042448714197|-0.26449754217150473|0.3246989938817709|0.2863730611200034|0.22995359752930705|-0.16588255377683603
2|AT003|Linz|48.3059078|14.286198|-0.5144493472358365|-0.22153219425787854|-0.34408837191017644|1.353640591888245|-0.5225526079677885|0.24114602215911407|0.6673272008624329|0.614562024478712|0.6406662876381816|-0.5549390705350181|-0.4509633108469592|0.35671703928650095|0.3069224973890053|-0.09585875360151196
3|AT004|Salzburg|47.7981346|13.0464806|-0.517210881975393|-0.36954711036173826|-0.37279608045587026|0.772741415071694|-0.4166413709589998|-0.2376742138016941|0.20792917341218672|0.18744284581125664|0.21326552787427425|-0.45218386965449636|-0.3074882024578298|0.04861655849612077|-0.030194561821812876|-0.40255688275369567
4|AT005|Innsbruck|47.2654296|11.3927685|-0.5199724167149494|-0.3518496747406246|-0.39002070558328655|1.3883211397578898|-0.6024505586937167|-0.18979219020561344|0.1522445640242781|0.159886769768195|0.1543136989413216|-0.66853207941326|1.378344321114439|0.1999021883956843|0.13533898918649015|-0.2519598452587301
5|AT006|Klagenfurt|46.6228162|14.3079604|-0.5199724167149494|-0.37276482592921345|-0.3708822332194907|0.8421025108109836|-0.6507609475047431|-0.01422477035331718|-0.0008881117924706574|0.008328351531355978|0.0806239127751307|-0.6947643235268403|0.7999602904207617|0.17379197815921144|0.1067697468804886|-0.2779512121360338
6|AUS01|Greater Sydney|51.5487807|0.1333421|-0.3791341449975693|2.019606698488606|1.851094408217212|-0.05092159683237074|-0.1230628543381471|-1.051668614935068|2.4631558536224865|2.515931271449965|2.365007283927048|0.24669151465946396|-0.14159510838289915|-0.18707445367397724|-0.28554016196002335|0.8420329926265838
7|AUS02|Greater Melbourne|-38.06483595|145.22690065441014|-0.2907650333317621|2.602013216201619|2.582184052514215|-0.0075709119953147|-0.017151617329358475|-0.9239832186788526|2.170811654335966|2.3092607011270028|2.18815179712819|0.9654568326236183|-0.944158995934591|-0.1874137794355106|-0.28640211486311973|0.5562319033036933
8|AUS03|Greater Brisbane|51.56006345|-0.012621600853172292|-0.11402681000014783|1.6415251193102687|0.9917769990827767|0.2872137448966664|-0.5801534561655507|-1.2591573838514183|1.029277161883839|0.9727910130385132|0.8175217744370396|-0.21457924514006568|-0.32990618814363126|-0.18657999946149628|-0.2842841528613619|1.2584928331902772
9|AUS04|Greater Perth|51.5321667|0.0882561|0.1234651776017089|1.2264398111059664|0.9056538734456951|0.1571616903854983|-0.27728448015796214|-0.9399438932108795|0.7786964196382503|0.7936765187586126|0.6996181165711343|0.6950622481966364|-0.7648151104481794|-0.18792000299116216|-0.287688020364187|0.129859195872553
10|AUS05|Greater Adelaide|51.4237132|-0.334651|0.09032676072703122|0.5507195419361721|0.6013521628613405|0.12248114251585342|-0.10634002744202257|-1.1633933366592566|0.31929839218800393|0.36655734009115726|0.5080246725390378|1.0801047158189745|-0.8455198589170646|-0.18836979041932092|-0.2888305672127544|-0.24897952344721644
11|AUS06|Gold Coast|-28.0023731|153.4145987|-0.05327304572990541|-0.020424971290677836|-0.16418673169049508|0.1311512794832646|-0.2847168476673508|-1.291078732915472|-0.07049387352735645|-0.06056183857629811|-0.02254178785753657|0.6882410956502552|-0.05192316563969335|-0.18856859305938353|-0.28933556427507834|-0.4164233710154121
12|AUS07|Canberra|-35.2975906|149.1012676|-0.4288417703095858|-0.2392296298789922|-0.19289444023618893|2.3160257952708894|-0.5411335267412601|-1.1474326621272297|-0.16794193995619652|-0.15700810472701382|-0.1993972746563947|-0.31652849904415925|-0.8948394274258279|-0.18849769340172925|-0.289155465465405|-0.3567073055488659
13|AUS08|Newcastle|54.9738474|-1.6131572|-0.202395921665955|-0.06869070480280601|-0.16418673169049508|0.10514086858103092|-0.320020593336947|-1.0197472658710143|-0.12617848291526507|-0.1294520286839522|-0.06675565955725107|0.8077538988942224|0.40540374235065635|-0.18860858046630055|-0.28943714000373405|-0.45010323193854423
14|AUS10|Wollongong|-34.4243941|150.89385|-0.4536955829655941|-0.32128137684961006|-0.32686374678276015|0.04444990980915252|0.39534477944171303|-1.1474326621272297|-0.22362654934410517|-0.22589829483466792|-0.18465931742315655|2.146420144992409|0.8447962617923646|-0.1887734930700044|-0.2898560498350341|-0.5890028002137309
15|AUS11|Sunshine Coast|-26.5443222|153.0507705|-0.0339423025530101|-0.3148459457146597|-0.34217452467379683|0.1571616903854983|-0.1527923243757018|-1.3549214310435802|-0.25146885403805946|-0.25345437087772954|-0.1993972746563947|1.070936122644961|0.48610849081954144|-0.18874173002337527|-0.28977536556830047|-0.5622500028847182
