|index|metroId|metropolitanAreas|latitude|longitude|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
25|25|CAN04|Ottawa|45.421106|-75.690308|3.0|344.0|294.0|2.5|121.0|7.3|4.2|4.2|3.7|0.02853587722936541|34.0|||
26|26|CAN05|Calgary|51.0460954|-114.06546499999999|4.0|305.0|265.0|1.7|86.0|7.6|4.8|4.5|2.9|0.017394775864035587|2.3|||
27|27|CAN06|Edmonton|53.535410999999996|-113.50799599999999|5.0|343.0|276.0|4.7|70.0|8.8|4.1|3.9|2.8|0.017828369457872032|12.9|||
28|28|CAN07|Quebec|52.4760892|-71.8258668|1.0|250.0|152.0|7.1|119.0|8.8|2.2|2.4|2.8|0.03393051031487514|41.8|||
29|29|CAN08|Winnipeg|49.8955367|-97.1384584|11.0|301.0|220.0|3.4|62.0|6.3|2.5|2.4|2.2|0.022070684851151195|1.3|||
30|30|CAN09|Hamilton|43.2560802|-79.8728583|4.0|285.0|193.0|0.6|220.0|9.3|1.8|1.8|1.9|0.09906152241918666|17.7|||
31|31|CAN10|London|51.5073219|-0.1276474|5.0|227.0|131.0|3.7|102.0|8.8|1.6|1.6|1.6|0.0410711054821784|4.7|||
32|32|CAN11|Kitchener|43.451291|-80.49278149999999|1.0|194.0|150.0|1.8|220.0|8.7|1.7|1.6|1.4|0.07587016034415331|10.4|||
33|33|CAN12|Halifax|44.648618|-63.58594870000001|1.0|115.0|97.0|3.0|45.0|5.8|1.2|1.3|1.2|0.011119706052987817|84.1|||
34|34|CAN13|Victoria|-36.5986096|144.6780052|0.0|141.0|68.0|5.4|358.0|5.8|0.9|1.1|1.3|0.13031423290203328|27.2|||
35|35|CAN14|Windsor|51.48375775|-0.6040964041849046|7.0|204.0|91.0|1.9|242.0|9.9|1.1|1.1|1.1|0.13076923076923078|6.2|||
36|36|CAN15|Saskatoon|52.131802|-106.66076699999999|13.0|51.0|47.0|4.9|74.0|9.5|0.9|0.8|0.6|0.01327779224160375|0.5|||
37|37|CAN16|Sherbrooke|45.403271000000004|-71.889038|4.0|89.0|50.0|16.0|52.0|6.9|0.7|0.7|0.8|0.018012548067192876|33.9|||
38|38|CH001|Zurich|47.3744489|8.5410422|4.0|276.0|49.0|11.6|1006.0|12.0|16.1|16.4|15.4|0.21100917431192662|28.8|||
39|39|CH002|Geneva|46.2017559|6.146601400000001|0.0|103.0|13.0|15.4|1060.0|13.5|7.6|7.0|6.4|0.19144981412639406|7.6|||
40|40|CH003|Basel|47.55810770000001|7.5878261|1.0|120.0|18.0|19.9|773.0|11.9|6.0|6.4|7.7|0.17266187050359713|2.6|||
41|41|CH004|Bern|46.9482713|7.4514512|2.0|91.0|22.0|21.1|520.0|12.2|4.6|4.9|5.6|0.11621966794380588|33.1|||
42|42|CH005|Lausanne|46.5218269|6.6327025|0.0|86.0|14.0|32.5|520.0|12.0|5.3|5.0|4.5|0.11096774193548387|41.0|||
43|43|CL004|Antofagasta|-23.6463741|-70.3980033|7.0|50.0|50.0|0.3|12.0|13.0|2.2|2.1|1.6|0.001619538107731675|0.0|||
44|44|CL006|Coquimbo-La Serena|-29.902631|-71.2520253|3.0|17.0|17.0|0.7|117.0|13.9|2.6|2.5|2.4|0.004412146379444588|0.2|||
45|45|CL010|Valparaiso|-33.0458456|-71.6196749|1.0|100.0|85.0|0.6|702.0|16.4|5.0|5.7|6.9|0.06954102920723226|20.7|||
46|46|CL011|Santiago|9.869479199999999|-83.7980749|2.0|534.0|487.0|0.7|634.0|27.2|39.5|41.3|38.2|0.046854435377730985|4.2|||
47|47|CL014|Rancagua|-34.170249|-70.7407427|5.0|26.0|16.0|1.4|113.0|30.6|2.0|2.0|1.7|0.008373590982286634|33.8|||
48|48|CL017|Talca|-35.4266305|-71.66611529999999|26.0|14.0|12.0|0.7|585.0|24.6|1.5|1.6|1.4|0.029535864978902954|8.6|||
49|49|CL020|Concepcion|-36.827079499999996|-73.05023990000001|2.0|102.0|53.0|0.9|498.0|19.8|5.1|5.7|5.2|0.05167173252279635|65.5|||
50|50|CL022|Temuco|-38.7362611|-72.590546|0.0|37.0|31.0|0.9|136.0|32.7|2.4|2.5|2.2|0.011587848418415283|61.0|||
51|51|CL023|Valdivia|-39.814126200000004|-73.24598590000001|0.0|13.0|13.0|0.3|293.0|32.0|1.6|1.7|1.7|0.012757605495583905|80.4|||
